Time,Used
42156.183003,1430986160
42156.183047,1437873672
42156.183094,1437946128
42156.183140,867659752
42156.183187,883468616
42156.183233,883544872
42156.183279,883629200
42156.183326,884968264
42156.183372,885504992
42156.183418,885560168
42156.183465,887648064
42156.183511,1471795752
42156.183557,1471870576
42156.183604,1472409040
42156.183650,1472461752
42156.183696,1472925248
42156.183743,1473450816
42156.183789,1473974488
42156.183835,937389648
42156.183882,950991864
42156.183928,951066448
42156.183975,951419704
